ID_REF,GSM2407549,GSM2407550,GSM2407551,GSM2407552,GSM2407553,GSM2407554,GSM2407555,GSM2407556,GSM2407557,GSM2407558,GSM2407559,GSM2407560,GSM2407561,GSM2407562,GSM2407563,GSM2407564,GSM2407565,GSM2407566,GSM2407567,GSM2407568,GSM2407569,GSM2407570,GSM2407571,GSM2407572,GSM2407573
20536327,2.12259,0.947891,1.89021,0.847466,0.477753,0.775227,0.558809,0.632552,0.869966,0.840345,0.849644,0.683453,0.494852,1.03877,1.22022,0.525945,0.646257,0.550239,0.804091,1.07176,0.313933,0.809841,0.975817,0.840981,0.33156
20536328,1.67465,1.07649,1.24935,1.3865,1.3105,1.4405,1.0825,1.30476,1.26441,2.02295,1.74213,1.19837,1.38107,1.1879,1.29433,1.77002,1.53015,1.64753,1.8588,1.69743,2.0712,1.69547,1.22316,2.03275,1.28721
20536329,1.8734,1.62284,2.07949,1.65376,1.76995,2.43133,1.09008,1.97228,1.85848,1.31481,0.815264,1.34795,1.31848,1.63565,0.893287,1.98509,1.44036,1.26806,1.81123,1.08149,2.25258,1.28535,1.15693,0.607443,1.34295
20536330,0.835975,0.708696,0.677476,0.841347,0.735697,0.825139,0.989414,0.550252,0.762319,0.819563,1.1449,0.890246,0.746619,1.60657,0.983496,0.857028,1.2638,0.751986,1.17864,0.854957,0.681306,0.525486,1.46015,1.32893,0.744837
20536331,0.656926,0.918046,0.721351,0.854269,0.779572,0.804404,1.03329,0.594127,0.74229,1.10162,1.18878,0.934121,0.573094,1.61949,1.11219,0.9759,1.30767,0.84449,1.26065,0.898832,0.714235,0.569361,1.4092,1.11502,0.75676
20536332,1.8734,1.62284,2.07949,1.65376,1.76995,2.43133,1.09008,1.97228,1.85848,1.31481,0.815264,1.34795,1.31848,1.63565,0.893287,1.98509,1.44036,1.26806,1.81123,1.08149,2.25258,1.28535,1.15693,0.607443,1.34295
20536333,1.28675,0.892694,1.07991,0.909554,0.962708,1.04049,1.0544,0.869135,1.04101,1.42806,1.24593,1.4643,1.05745,1.14915,2.02163,0.905594,0.806699,0.999929,1.21174,1.02941,0.948013,0.942547,0.835867,1.65109,0.975341
20536334,1.52792,1.13386,1.29458,1.27031,1.15923,1.28166,1.29557,1.1103,1.29748,1.2595,1.11252,1.70547,1.35686,1.39032,2.26279,1.14676,1.04787,1.23579,1.65756,1.27058,1.18918,1.18372,1.07703,1.89226,1.20057
20536433,1.1005,1.40636,1.47311,1.57228,1.23387,1.21326,1.56912,1.34,1.47724,1.28924,1.58053,1.35205,1.0395,1.07115,1.2455,1.69862,0.887335,0.916097,1.16847,1.17701,1.23457,1.18454,1.72971,2.52141,1.17324
20536434,1.40801,1.9602,2.01919,1.99412,2.08245,2.70991,2.00193,1.51382,2.25698,2.31748,2.07808,1.46143,2.42861,2.00195,2.98677,1.54976,1.80435,1.85711,1.86816,2.24954,1.97479,1.70548,1.82891,1.2752,1.8422
20536435,1.40397,2.2665,1.40299,1.30338,1.05953,1.69449,1.68219,1.34495,0.930646,1.02316,1.40981,1.14845,1.85168,1.03484,0.865714,0.918344,1.67567,1.55716,0.754215,1.51872,1.95873,1.12751,1.55841,0.863344,1.21566
20536436,1.47318,1.73412,1.36192,1.6216,1.23164,2.00626,0.836677,1.51363,1.06984,1.40584,1.60623,2.08904,1.80671,2.78022,1.40804,1.74313,2.17171,1.76725,1.35744,1.26159,1.95263,1.67169,1.94781,2.02369,2.13772
20536437,0.690322,0.670066,0.824514,1.04038,0.694237,0.870003,1.06191,0.565639,1.38309,0.696453,1.02284,0.690644,1.01432,0.296087,0.691008,0.818672,0.859948,0.871408,1.13876,1.3442,0.350577,0.719693,0.557368,0.545018,0.552611
20536438,1.03654,1.34408,0.686895,1.11383,1.30071,1.35746,1.09479,1.07823,0.70958,1.60908,0.692041,1.4768,1.13745,1.53201,1.27315,1.44776,1.52957,1.30235,1.71065,0.976065,1.8927,1.7579,0.884081,1.28872,2.12512
20536439,1.27604,1.1156,1.62566,1.29687,1.10124,1.46794,1.32919,1.4585,1.2698,1.45057,1.97721,1.51547,1.51754,1.38795,1.54778,1.50743,1.15032,1.4585,1.68396,1.42917,1.34148,1.46642,2.43972,1.71572,0.952183
20536440,0.509304,0.569123,0.749406,0.859173,0.849636,0.694726,1.24073,0.495177,0.857246,0.778654,0.867502,0.920097,1.29043,0.717767,0.772051,0.597104,0.779084,1.48339,1.10409,1.07248,1.4739,1.6837,0.598026,0.792068,1.42269
20536441,1.16287,0.879995,1.2428,0.891578,1.40927,0.78061,1.59634,1.12828,1.18572,1.43333,1.32909,1.23711,1.11122,0.977141,1.42135,1.35621,1.18817,1.43727,1.53557,1.11276,1.09642,0.909353,2.40989,0.884944,1.21107
20536442,1.02969,0.704493,1.09091,0.896579,0.944989,1.10105,1.01463,0.995097,0.928301,0.775875,1.10674,1.10949,1.62321,1.06064,0.99372,0.864957,0.990983,1.36975,1.36258,1.01674,1.49327,1.29599,1.04317,1.76823,1.55953
