Genes,ID
B3GNT4,7959402
B3GNT5,8084206
B3GNT6,7942693
B3GNT7,8049075
B3GNT8,8037032
B3GNTL1,8019545
B3GNTL1,8019559
B4GALNT1,7964484
B4GALNT2,8008172
B4GALNT3,7952927
B4GALT2,7900931
B4GALT3,7921806
B4GALT4,8089743
B4GALT5,8066939
B4GALT6,8022747
B4GALT7,8110399
B9D1,8013331
B9D2,8037018
BAALC,8147756
BAAT,8162870
BACE1,7951910
BACE2,8068671
BACH1,8068105
BACH2,8128247
BAD,7949067
BAG1,8160647
BAG2,8120402
BAG3,7930921
BAG4,8145914
BAG5,7981439
BAHD1,7982738
BAIAP2,8010562
BAIAP2L1,8141206
BAIAP2L2,8076007
BAIAP3,7992219
BAK1,8125766
BAMBI,7926875
BANF1,7941501
BANK1,8096617
BANP,7997755
BAP1,8087885
BARD1,8058695
BARHL1,8158912
BARX1,8162472
BARX2,7945162
BASP1,8104601
BATF,7975793
BATF2,7949340
BATF3,7924166
BAX,8030158
BAZ1A,7978595
BAZ2A,7964203
BAZ2B,8056060
BBOX1,7939056
BBS1,7941639
BBS10,7965060
BBS12,8097252
BBS2,8001507
BBS4,7984686
BBS5,8046147
BBS7,8102655
BBS9,8132218
BBX,8081465
BCAM,8029489
BCAN,7906205
BCAP29,8135422
BCAP31,8175835
BCAR1,8002854
BCAR3,7917754
BCAS1,8067125
BCAS2,7918759
BCAS3,8008933
BCAS4,8063417
BCAT1,7961829
BCAT2,8038202
BCCIP,7931268
BCDIN3D,7963139
BCHE,8091867
BCKDHA,8029065
BCKDHB,8120860
BCKDK,7995040
BCL10,7917338
BCL11A,8052399
BCL11B,7981242
BCL2,8023646
BCL2A1,7990818
BCL2L1,8065569
BCL2L10,7988852
BCL2L11,8044375
BCL2L12,8030429
BCL2L13,8071119
BCL6,8092691
BCL6B,8004255
BCL7A,7959354
BCL7B,8140061
BCL7C,8000948
BCL9,7904907
BCL9L,7952116
BCLAF1,8129773
BCO2,7943867
BCORL1,8169882
BCR,8071691
BCS1L,8048370
BDH1,8093219
BDH2,8102065
BDKRB1,7976567
BDKRB2,7976560
BDNF,7947230
BDP1,8106025
BDP1,8177560
BECN1,8015715
BEGAIN,7981309
BEST1,7940582
BEST3,7964852
BEST4,7915598
BET1,8141024
BET1L,7945349
BEX1,8174201
BEX2,8174239
BEX4,8169009
BEX5,8174141
BFAR,7993341
BFSP1,8065124
BGN,8170648
BHMT,8106504
BHMT2,8106494
BICC1,7927681
BICD1,7954717
BICD2,8162438
BID,8074261
BIK,8073605
BIN1,8054945
BIN2,7963289
BIN3,8149707
BIRC2,7943424
BIRC3,7943413
BIRC5,8010260
BIRC5,8018860
BIRC6,8041283
BIRC7,8064031
BLCAP,8066195
BLK,8144625
BLM,7986068
BLMH,8014008
BLNK,7935270
BLOC1S2,7935746
BLVRA,8132515
BLVRB,8036913
BLZF1,7907171
BMF,7987454
BMP1,8145055
BMP1,8145083
BMP2,8060850
BMP2K,8096004
BMP4,7979241
BMP7,8067185
BMP8A,7900340
BMPER,8132250
BMPR1A,7928855
BMPR1A,7952305
